Name,Sales Price With GST
APRO IQ Formula Cat - 500g,78 
APRO IQ Formula Dog- 500g,98 
Bellota Pouch Kitten Tuna & Chicken Jelly - 85g,50 
Bellota Pouch Kitten Tuna Pate - 85g,50 
Bellota Pouch Shrim in Jelly - 85g,50 
Bellota Pouch Tuna & Chicken - 85g,50 
Bellota Pouch Tuna - 85g,50 
Bellota Tin Chicken 3 Layer - 185g,100 
Bellota Tin Mackerel - 185g,100 
Bellota Tin Tuna in Gravy - 185g,100 
Creamy Treat Bonito - 20 Tubes,425 
Creamy Treat Chicken & Liver - 20 Tubes,425 
Creamy Treat Crab - 20Tubes,425 
Creamy Treat Mussel - 60G,90 
Creamy Treats Chicken & Liver - 60g,90 
Creamy Treats Crab - 60g,90 
Creamy Treats Salmon - 60g,90 
Crunchy & Tender Chicken - 65g,110 
Crunchy & Tender Salmon - 65g,110 
Crunchy & Tender Tuna - 65g,110 
Cuties Catz Adult Chicken Ayam - 75g,40 
Cuties catz Adult Tuna - 75g,40 
Drool Adult Nutrition Tuna & Salmon - 1.2kg,365 
Drools Adult Chicken & Egg - 1.2Kg,307 
Drools Adult Nutrition Ocean Fish - 1.2Kg,380 
Drools Adult Nutrition Real Chicken - 1.2Kg,365 
Drools Adult Real Chicken & Liver Gravy - 150g,45 
Drools Biscuit Chicken & Egg - 400g,200 
Drools Cat Adult Mackerel -1.2Kg,431 
Drools Chicken Cod Sandwich Cat Treat -35g,120 
Drools Creamy Lickable Cat Treat Seafood Madley - 15g,90 
Drools Diced Real Chicken Treats,199 
Drools Kitten Nutrition Ocean Fish - 1.2kg,448 
Drools Puppy Chicken & Milk - 1.2Kg,330 
Drools Puppy Real Chicken & Liver Chunks Gravy - 150g,45 
Drools Real chicken Dog Treats,199 
FM Chicken Slice - 40g,150 
FM Salmon Slice - 40g,150 
JM Makerel in Jelly - 70g,75 
Jer High Gravy Chicken & Veg - 120g,80 
Jer High Gravy Chicken Grilled - 120g,80 
Jer High Gravy Liver & Chicken - 120g,80 
Jer High Roasted Duck - 120g,80 
Jinny Tuna Gravy Topping Salmon - 70g,75 
Kitty Yums Creamy Lickable Salmon & Skipack - 80g,65 
Kitty Yums Creamy Lickable Treats Crab & Chicken - 80g,65 
LICK & Lickable Vegetable & EEG - 100g,90 
Let's Bite Active Adult Cat Ocean Fish - 1 Kg,589 
Let's Bite Kitten - 400g,235 
Lick & Lickable Salmon & Cranberry - 100g,90 
Lick & Lickable Yougart & Blueberry - 100g,90 
ME-O Adult Salmon Chunk in Gravy - 80g,50 
ME-O Adult Tuna - 1.2 Kg,450 
ME-O Adult Tuna with Chicken Jelly-80g,50 
ME-O Adult Tuna with White Fish - 80g,50 
ME-O Can Kitten Tuna Sardine Jelly-400g,160 
